Price,Area,Location,No. of Bedrooms,Is_New,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price per sq ft.,Total Amenities
4803000,655,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"7,333",4
13000000,1800,Kharghar,3,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"7,222",9
15500000,1645,Kharghar,3,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"9,422",9
13000000,1395,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"9,319",10
8500000,1150,Kharghar,2,Old,1,1,1,1,1,0,1,1,1,0,0,1,1,"7,391",10
9400000,1200,Kharghar,2,Old,1,1,1,1,1,1,1,0,1,0,0,1,1,"7,833",10
4500000,615,Kharghar,1,Old,0,1,1,1,1,0,0,0,0,0,0,0,0,"7,317",4
5300000,670,Kharghar,1,Old,1,1,1,1,1,1,1,0,1,0,1,1,1,"7,910",11
6000000,765,Kharghar,1,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"7,843",11
5600000,650,Kharghar,1,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"8,615",10
17500000,1760,Kharghar,3,Old,1,1,1,1,1,1,1,0,0,0,0,1,1,"9,943",9
12000000,1415,Kharghar,3,Old,1,1,1,1,1,1,1,1,1,1,0,1,1,"8,481",12
15000000,1685,Kharghar,3,Old,1,1,1,1,1,1,1,0,1,1,1,1,1,"8,902",12
13000000,1800,Kharghar,3,Old,1,1,1,1,1,1,1,1,0,0,0,1,1,"7,222",10
16600000,1650,Kharghar,3,Old,1,1,1,1,1,0,1,1,0,0,0,1,1,"10,061",9
13000000,1395,Kharghar,3,Old,1,1,1,1,1,1,1,0,0,0,0,1,1,"9,319",9
9400000,1200,Kharghar,2,Old,1,1,1,1,1,1,1,1,1,0,0,1,1,"7,833",11
